203,119,645,119,645,175,203,175
197,186,242,186,242,214,197,214
245,185,370,192,369,223,243,216
370,189,478,189,478,219,370,219
509,191,690,194,689,227,508,224
693,191,846,196,845,231,692,226
486,197,503,197,503,217,486,217
854,194,929,194,929,225,854,225
935,193,1041,196,1040,228,934,225
195,291,285,297,283,318,193,311
286,297,303,297,303,314,286,314
308,297,392,297,392,317,308,317
467,300,528,300,528,320,467,320
397,303,461,303,461,320,397,320
531,303,606,303,606,322,531,322
609,302,718,308,717,330,608,324
723,311,815,311,815,333,723,333
887,311,979,311,979,333,887,333
823,314,884,314,884,333,823,333
985,314,1032,314,1032,333,985,333
1035,314,1074,314,1074,336,1035,336
1076,314,1129,314,1129,339,1076,339
192,322,253,322,253,342,192,342
258,325,281,325,281,342,258,342
286,324,373,329,372,350,285,345
378,328,456,328,456,350,378,350
481,330,607,333,606,358,480,355
612,333,718,340,717,363,611,356
729,339,768,339,768,358,729,358
774,336,875,344,873,368,772,359
881,343,970,340,971,364,882,367
976,345,1043,345,1043,367,976,367
1049,350,1090,350,1090,372,1049,372
189,353,272,353,272,375,189,375
1096,353,1118,353,1118,370,1096,370
275,356,356,356,356,375,275,375
361,355,476,362,475,382,360,375
478,361,523,361,523,381,478,381
528,367,584,367,584,386,528,386
589,367,681,367,681,386,589,386
690,370,742,370,742,389,690,389
751,368,827,373,825,396,750,391
832,371,883,376,881,396,830,392
887,375,923,375,923,395,887,395
926,372,1119,376,1118,404,926,400
186,381,286,381,286,400,186,400
286,384,328,384,328,403,286,403
333,389,428,389,428,409,333,409
431,392,506,392,506,414,431,414
518,388,616,397,614,421,516,412
620,397,681,397,681,417,620,417
684,403,723,403,723,420,684,420
729,403,751,403,751,420,729,420
756,403,812,403,812,425,756,425
815,403,868,403,868,425,815,425
870,403,907,403,907,425,870,425
186,409,239,409,239,428,186,428
912,409,1046,409,1046,431,912,431
244,411,286,411,286,431,244,431
1051,411,1076,411,1076,434,1051,434
292,417,317,417,317,434,292,434
322,417,347,417,347,434,322,434
1079,417,1129,417,1129,439,1079,439
353,420,467,420,467,439,353,439
467,419,607,426,606,451,466,444
612,424,666,428,665,451,610,447
701,431,751,431,751,450,701,450
673,434,695,434,695,448,673,448
754,434,790,434,790,453,754,453
795,434,879,434,879,456,795,456
183,439,258,439,258,459,183,459
884,439,937,439,937,459,884,459
946,439,968,439,968,459,946,459
1004,437,1113,442,1112,468,1003,463
973,445,1001,445,1001,461,973,461
180,495,211,495,211,517,180,517
214,498,265,502,264,521,213,517
267,499,340,503,339,524,265,520
336,503,375,503,375,525,336,525
381,509,403,509,403,525,381,525
420,508,563,516,561,536,419,529
564,517,587,517,587,537,564,537
589,517,626,517,626,537,589,537
629,518,700,524,698,546,627,539
704,525,745,525,745,545,704,545
748,527,805,531,803,548,747,545
804,521,1034,536,1032,565,802,550
1037,542,1085,542,1085,562,1037,562
